spanish_sentence,english_translation
Tomo jugo de naranja cada mañana.,I drink orange juice every morning.
La sopa está muy caliente.,The soup is very hot.
Quiero pan con queso.,I want bread with cheese.
Mi madre hace un postre dulce.,My mother makes a sweet dessert.
Vamos a comer en un restaurante.,We are going to eat at a restaurant.
El helado de chocolate está muy rico.,Chocolate ice cream is very delicious.
Bebemos vino con la cena.,We drink wine with dinner.
El desayuno tiene huevos y pan.,Breakfast has eggs and bread.
Como frutas todos los días.,I eat fruit every day.
Esta manzana es muy dulce.,This apple is very sweet.
Me gusta más el pescado que la carne.,I like fish more than meat.
Necesito comprar leche y huevos.,I need to buy milk and eggs.
La ensalada tiene tomate y cebolla.,The salad has tomato and onion.
Mi padre bebe café sin azúcar.,My father drinks coffee without sugar.
Cocinamos los domingos en casa.,We cook on Sundays at home.
El postre tiene chocolate.,The dessert has chocolate.
Como demasiado dulce a veces.,I eat too much sweet sometimes.
La cena está en la mesa.,Dinner is on the table.
Mi casa tiene tres cuartos.,My house has three rooms.
La cocina es pequeña pero bonita.,The kitchen is small but pretty.
Mi cama está en el segundo piso.,My bed is on the second floor.
Abro la ventana cada mañana.,I open the window every morning.
Cierro la puerta con llave.,I close the door with a key.
Limpio mi cuarto los sábados.,I clean my room on Saturdays.
La mesa está en la cocina.,The table is in the kitchen.
Tenemos un jardín grande.,We have a big garden.
El baño está muy limpio.,The bathroom is very clean.
Ponemos flores en la mesa.,We put flowers on the table.
Mi casa está cerca del parque.,My house is near the park.
El garaje está cerca de la casa.,The garage is near the house.
Necesitamos una silla nueva.,We need a new chair.
El espejo está en el baño.,The mirror is in the bathroom.
Ponemos la ropa en el armario.,We put the clothes in the closet.
Mi habitación tiene una ventana grande.,My room has a big window.
Construimos una casa nueva.,We are building a new house.
La lámpara está en la mesa.,The lamp is on the table.
Tenemos una toalla limpia.,We have a clean towel.
Vivimos en un edificio alto.,We live in a tall building.
Hoy hace mucho calor.,Today it is very hot.
Mañana hay mucha lluvia.,Tomorrow there is a lot of rain.
El cielo está muy azul.,The sky is very blue.
Me gusta caminar bajo la lluvia.,I like walking in the rain.
En invierno hace mucho frío.,In winter it is very cold.
El sol está muy fuerte hoy.,The sun is very strong today.
Hay muchas estrellas esta noche.,There are many stars tonight.
El viento es muy fuerte hoy.,The wind is very strong today.
Los árboles tienen muchas flores.,The trees have many flowers.
Caminamos por la playa.,We walk along the beach.
El río pasa cerca de mi casa.,The river passes near my house.
Subimos la montaña cada verano.,We climb the mountain every summer.
El mar está muy azul.,The sea is very blue.
Hay mucha nieve en las montañas.,There is a lot of snow in the mountains.
Me gusta el aire de la montaña.,I like the mountain air.
El bosque tiene muchos árboles.,The forest has many trees.
Hace viento y frío.,It is windy and cold.
Las flores del jardín son bonitas.,The garden flowers are pretty.
La tormenta llega esta tarde.,The storm arrives this afternoon.
Después de la lluvia sale el sol.,After the rain the sun comes out.
Trabajo en una oficina grande.,I work in a big office.
Mi profesor enseña español.,My teacher teaches Spanish.
Los estudiantes leen muchos libros.,The students read many books.
Necesito un lápiz y papel.,I need a pencil and paper.
Tengo un examen mañana.,I have an exam tomorrow.
Hago mi tarea todas las noches.,I do my homework every night.
La clase empieza a las nueve.,Class starts at nine o'clock.
Mi escuela está cerca de mi casa.,My school is near my house.
Estudio mucho para el examen.,I study a lot for the exam.
El maestro explica bien la clase.,The teacher explains the class well.
Aprendo palabras nuevas cada día.,I learn new words every day.
Escribo en mi cuaderno.,I write in my notebook.
Mis amigos de la escuela son muy simpáticos.,My school friends are very nice.
Trabajamos en la misma oficina.,We work in the same office.
El profesor pregunta y yo escucho.,The teacher asks and I listen.
Necesito más tiempo para estudiar.,I need more time to study.
La universidad tiene muchos estudiantes.,The university has many students.
Mi trabajo es muy interesante.,My job is very interesting.
Busco un trabajo nuevo.,I am looking for a new job.
Ella estudia idiomas en la universidad.,She studies languages at the university.
Compro ropa en el mercado.,I buy clothes at the market.
¿Cuánto es esto?,How much is this?
El precio es muy alto.,The price is very high.
No tengo mucho dinero.,I don't have much money.
Vendo mi bolsa vieja.,I am selling my old bag.
Pago con mi tarjeta.,I pay with my card.
Recibo un regalo de mi madre.,I receive a gift from my mother.
Ese vestido es muy caro.,That dress is very expensive.
Compramos zapatos nuevos.,We buy new shoes.
La tienda abre a las diez.,The store opens at ten o'clock.
Necesito un sombrero nuevo.,I need a new hat.
Gano dinero cada mes.,I earn money every month.
El mercado vende fruta y verdura.,The market sells fruit and vegetables.
Compro un regalo para mi hija.,I buy a gift for my daughter.
Ella trabaja en una tienda.,She works in a store.
Tengo dolor de cabeza.,I have a headache.
El médico cuida a la gente.,The doctor takes care of people.
Estoy enfermo hoy.,I am sick today.
Necesito ir al hospital.,I need to go to the hospital.
Ella toma medicina cada día.,She takes medicine every day.
Mis ojos son verdes.,My eyes are green.
Tengo el pelo negro.,I have black hair.
Me lavo las manos antes de comer.,I wash my hands before eating.
Tengo un corazón fuerte.,I have a strong heart.
Ella tiene manos pequeñas.,She has small hands.
Su salud es muy importante.,Her health is very important.
El niño está enfermo.,The child is sick.
Necesitamos descansar para tener buena salud.,We need to rest to have good health.
Tengo miedo del dolor.,I am afraid of pain.
La enfermedad pasa rápido.,The illness passes quickly.
Viajo a España cada año.,I travel to Spain every year.
Vamos a la playa este verano.,We are going to the beach this summer.
El tren llega a la estación.,The train arrives at the station.
Buscamos un hotel cerca del mar.,We look for a hotel near the sea.
La ciudad tiene calles muy bonitas.,The city has very pretty streets.
Visitamos el parque los domingos.,We visit the park on Sundays.
Caminamos por el puente viejo.,We walk across the old bridge.
El hotel está cerca del parque.,The hotel is near the park.
Vivimos cerca de la montaña.,We live near the mountain.
El país tiene montañas y playas.,The country has mountains and beaches.
Vamos al mercado en la ciudad.,We go to the market in the city.
La iglesia está en la esquina.,The church is on the corner.
El banco abre temprano.,The bank opens early.
Necesito ir al banco hoy.,I need to go to the bank today.
El hospital está lejos de aquí.,The hospital is far from here.
Vamos a la escuela en autobús.,We go to school by bus.
Caminamos por el parque cada tarde.,We walk through the park every afternoon.
Vamos a otro país este año.,We are going to another country this year.
Vivo en un país pequeño.,I live in a small country.
Esta calle es muy larga.,This street is very long.
Compro un billete de tren.,I buy a train ticket.
Llevo mi maleta al aeropuerto.,I carry my suitcase to the airport.
Necesito mi pasaporte para viajar.,I need my passport to travel.
El avión llega a las tres.,The plane arrives at three o'clock.
Voy al trabajo en bicicleta.,I go to work by bicycle.
Mi coche es muy viejo.,My car is very old.
Este viaje es muy largo.,This trip is very long.
El barco sale por la mañana.,The boat leaves in the morning.
Estoy muy feliz hoy.,I am very happy today.
Ella está triste porque está sola.,She is sad because she is alone.
Tengo miedo por la noche.,I am afraid at night.
Mi amigo es muy amable.,My friend is very kind.
Ella es muy inteligente y simpática.,She is very intelligent and nice.
Estamos muy cansados hoy.,We are very tired today.
Él está enojado conmigo.,He is angry with me.
Siento mucha alegría hoy.,I feel a lot of joy today.
Tengo mucho miedo ahora.,I am very afraid now.
Mi hermano es muy divertido.,My brother is very fun.
Esta película es muy aburrida.,This movie is very boring.
Estoy muy ocupado esta semana.,I am very busy this week.
Ella siempre está muy feliz.,She is always very happy.
Nos sentimos muy seguros aquí.,We feel very safe here.
Mi amor por mi familia es grande.,My love for my family is big.
Me gusta jugar con mis amigos.,I like to play with my friends.
A ella le gusta la música.,She likes music.
Escucho música todas las noches.,I listen to music every night.
Vemos una película los sábados.,We watch a movie on Saturdays.
Me gusta leer libros interesantes.,I like to read interesting books.
Bailamos y cantamos en casa.,We dance and sing at home.
Nadamos en el mar cada verano.,We swim in the sea every summer.
Mis amigos y yo jugamos cartas.,My friends and I play cards.
Me gusta viajar y conocer lugares nuevos.,I like to travel and see new places.
Cantamos canciones bonitas.,We sing pretty songs.
Vamos al parque a caminar.,We go to the park to walk.
Ella escribe historias bonitas.,She writes pretty stories.
Jugamos en el jardín todo el día.,We play in the garden all day.
Me gusta tomar fotos.,I like to take photos.
Descansamos y vemos la televisión.,We rest and watch television.
¿Qué hora es?,What time is it?
¿Dónde está el baño?,Where is the bathroom?
¿Cuántos años tienes?,How old are you?
¿Por qué estás triste?,Why are you sad?
¿Qué quieres comer hoy?,What do you want to eat today?
¿Cuándo llega el tren?,When does the train arrive?
¿Quién es esa mujer?,Who is that woman?
¿Cómo se llama tu perro?,What is your dog's name?
¿Tienes hermanos o hermanas?,Do you have brothers or sisters?
¿Qué color te gusta más?,What color do you like most?
Mi color favorito es el azul.,My favorite color is blue.
Tengo mucha hambre ahora.,I am very hungry now.
¿Tienes mucha sed?,Are you very thirsty?
Me lavo la cara cada mañana.,I wash my face every morning.
Lavamos la ropa los lunes.,We wash the clothes on Mondays.
Hoy es lunes y mañana es martes.,Today is Monday and tomorrow is Tuesday.
Nací en la primavera.,I was born in spring.
El otoño es mi estación favorita.,Fall is my favorite season.
Vamos a la playa en el verano.,We go to the beach in summer.
El invierno es muy frío aquí.,Winter is very cold here.
Cada estación tiene su color.,Each season has its color.
Escribo una carta a mi amigo.,I write a letter to my friend.
Leo el periódico cada mañana.,I read the newspaper every morning.
Veo las noticias por la noche.,I watch the news at night.
Uso mi teléfono para hablar con amigos.,I use my phone to talk with friends.
Envío un mensaje a mi hermano.,I send a message to my brother.
Recibo muchas fotos de mi familia.,I receive many photos of my family.
