italian_sentence,english_translation
Il ristorante è pieno di gente.,The restaurant is full of people.
"Scusa, che ora è?","Excuse me, what time is it?"
Sono le due del pomeriggio.,It is two in the afternoon.
La mattina mi alzo presto.,In the morning I get up early.
Mi sveglio e mi vesto in fretta.,I wake up and get dressed quickly.
Ogni sera mi lavo e vado a letto.,Every evening I wash up and go to bed.
Il lunedì vado a scuola.,On Monday I go to school.
Il sabato e la domenica non lavoro.,On Saturday and Sunday I do not work.
Domani è il mio compleanno.,Tomorrow is my birthday.
Oggi è una bella giornata.,Today is a beautiful day.
Ieri ho studiato molto.,Yesterday I studied a lot.
Questo mese ho un esame importante.,This month I have an important exam.
L'anno prossimo vado in Italia.,Next year I go to Italy.
In inverno fa molto freddo.,In winter it is very cold.
In estate fa caldo.,In summer it is hot.
La primavera è la mia stagione preferita.,Spring is my favorite season.
In autunno le foglie cadono.,In autumn the leaves fall.
Oggi piove molto.,Today it is raining a lot.
Domani nevica in montagna.,Tomorrow it snows in the mountains.
Il vento è forte oggi.,The wind is strong today.
Il cielo è blu e sereno.,The sky is blue and clear.
Il sole splende ogni mattina.,The sun shines every morning.
La luna è grande stanotte.,The moon is big tonight.
Vedo una nuvola nel cielo.,I see a cloud in the sky.
Il mare è calmo oggi.,The sea is calm today.
Il fiume passa vicino alla città.,The river passes near the city.
Amo camminare in montagna.,I love walking in the mountains.
L'albero ha molte foglie verdi.,The tree has many green leaves.
Il fiore rosso è bellissimo.,The red flower is very beautiful.
Ho un cane e un gatto.,I have a dog and a cat.
Il gatto dorme sul divano.,The cat sleeps on the sofa.
Il cane corre nel giardino.,The dog runs in the garden.
Il cavallo è veloce e forte.,The horse is fast and strong.
La mucca vive nella fattoria.,The cow lives on the farm.
L'uccello vola nel cielo.,The bird flies in the sky.
La mia casa ha quattro camere.,My house has four rooms.
La cucina è grande e pulita.,The kitchen is big and clean.
Il bagno ha una finestra piccola.,The bathroom has a small window.
Il letto è comodo.,The bed is comfortable.
La sedia è vicino al tavolo.,The chair is near the table.
Apro la porta e entro in casa.,I open the door and enter the house.
Chiudo la finestra perché fa freddo.,I close the window because it is cold.
Il telefono è sul tavolo.,The phone is on the table.
Guardo la televisione la sera.,I watch television in the evening.
Uso il computer per lavorare.,I use the computer to work.
Il frigorifero è vuoto.,The refrigerator is empty.
Metto i vestiti nell'armadio.,I put the clothes in the wardrobe.
Indosso una camicia bianca.,I wear a white shirt.
I pantaloni sono troppo lunghi.,The pants are too long.
Le scarpe nuove sono comode.,The new shoes are comfortable.
"Fa freddo, quindi metto un cappotto.","It's cold, so I put on a coat."
Ho bisogno di guanti in inverno.,I need gloves in winter.
Il cappello protegge dal sole.,The hat protects from the sun.
Vado a scuola ogni giorno.,I go to school every day.
Lo studente studia in biblioteca.,The student studies in the library.
L'insegnante spiega la lezione.,The teacher explains the lesson.
Faccio i compiti dopo la scuola.,I do homework after school.
L'esame è difficile ma importante.,The exam is difficult but important.
Scrivo con una penna nera.,I write with a black pen.
Il mio quaderno è pieno di note.,My notebook is full of notes.
Lavoro in un ufficio grande.,I work in a big office.
Il mio capo è molto gentile.,My boss is very kind.
I miei colleghi sono simpatici.,My colleagues are nice.
Ho un nuovo progetto al lavoro.,I have a new project at work.
Guadagno soldi per vivere bene.,I earn money to live well.
Vado al negozio per comprare pane.,I go to the shop to buy bread.
Il prezzo è troppo alto.,The price is too high.
C'è uno sconto al supermercato.,There is a discount at the supermarket.
Pago con la carta o con contanti.,I pay with card or cash.
Il cliente aspetta lo scontrino.,The customer waits for the receipt.
Questo negozio è economico.,This shop is inexpensive.
Non ho abbastanza soldi.,I don't have enough money.
Ricevo un regalo per il compleanno.,I receive a gift for my birthday.
Mi sento male oggi.,I feel bad today.
Ho mal di testa e febbre.,I have a headache and a fever.
Vado dal medico in ospedale.,I go to the doctor at the hospital.
Il dottore mi dà una medicina.,The doctor gives me a medicine.
La farmacia è vicino a casa mia.,The pharmacy is near my house.
Ho un brutto raffreddore.,I have a bad cold.
La mia salute è importante.,My health is important.
Sento dolore alla gamba.,I feel pain in my leg.
Viaggio in treno ogni settimana.,I travel by train every week.
L'aereo arriva in aeroporto alle dieci.,The plane arrives at the airport at ten.
Prendo l'autobus per andare in centro.,I take the bus to go downtown.
La macchina è parcheggiata davanti alla chiesa.,The car is parked in front of the church.
Il museo è aperto la mattina.,The museum is open in the morning.
Compro un biglietto per il treno.,I buy a ticket for the train.
La valigia è pesante.,The suitcase is heavy.
Ho il passaporto nella borsa.,I have the passport in the bag.
Qual è il tuo indirizzo?,What is your address?
Non conosco questa strada.,I don't know this street.
La banca è chiusa la domenica.,The bank is closed on Sunday.
L'albergo è vicino alla stazione.,The hotel is near the station.
Il parco è pieno di bambini.,The park is full of children.
Questa città è molto bella.,This city is very beautiful.
Il mondo è grande e interessante.,The world is big and interesting.
Voglio vedere posti nuovi.,I want to see new places.
Ho un problema con il computer.,I have a problem with the computer.
Non capisco questa domanda.,I don't understand this question.
"Puoi ripetere, per favore?","Can you repeat, please?"
Ho bisogno di aiuto.,I need help.
Grazie mille per l'aiuto.,Thank you very much for the help.
Non ho tempo oggi.,I don't have time today.
Ho troppo lavoro questa settimana.,I have too much work this week.
Sono occupato tutto il giorno.,I am busy all day.
Domani sono libero.,Tomorrow I am free.
Voglio riposare un po'.,I want to rest a bit.
Sono molto stanco stasera.,I am very tired tonight.
Dormo otto ore ogni notte.,I sleep eight hours every night.
Mi sveglio presto la mattina.,I wake up early in the morning.
Faccio colazione con caffè e pane.,I have breakfast with coffee and bread.
Poi vado al lavoro in autobus.,Then I go to work by bus.
A mezzogiorno mangio un panino.,At noon I eat a sandwich.
Nel pomeriggio studio in biblioteca.,In the afternoon I study in the library.
La sera torno a casa stanco.,In the evening I return home tired.
Guardo un film prima di dormire.,I watch a movie before sleeping.
Amo la mia famiglia.,I love my family.
Ho paura del buio.,I am afraid of the dark.
Sento gioia quando vedo i miei amici.,I feel joy when I see my friends.
La sorpresa mi rende felice.,The surprise makes me happy.
Ho fiducia in te.,I trust you.
Il coraggio è importante nella vita.,Courage is important in life.
Ho un desiderio speciale.,I have a special wish.
La speranza aiuta sempre.,Hope always helps.
Questa storia è molto triste.,This story is very sad.
Ho un bel sogno stanotte.,I have a nice dream tonight.
Ogni momento della vita è prezioso.,Every moment of life is precious.
La mia esperienza è stata positiva.,My experience was positive.
Questo esempio è chiaro.,This example is clear.
La situazione è difficile ma non impossibile.,The situation is difficult but not impossible.
Ho una buona idea.,I have a good idea.
La verità è importante per me.,Truth is important to me.
"Voglio la pace, non la guerra.","I want peace, not war."
Il mio gruppo di amici è unito.,My group of friends is close.
Giochiamo a calcio ogni domenica.,We play soccer every Sunday.
Questo gioco è molto divertente.,This game is very fun.
La luce del sole entra dalla finestra.,The sunlight comes in through the window.
Il colore rosso mi piace molto.,I like the color red a lot.
Il cielo è grigio oggi.,The sky is gray today.
Ha i capelli neri e gli occhi verdi.,He has black hair and green eyes.
Ho gli occhi blu.,I have blue eyes.
La sua camicia è bianca e blu.,His shirt is white and blue.
Ho una borsa marrone.,I have a brown bag.
Questo fiore è rosa e viola.,This flower is pink and purple.
Sono alto e magro.,I am tall and thin.
Lei è bassa ma forte.,She is short but strong.
Il mio amico è molto intelligente.,My friend is very intelligent.
Questo libro è interessante.,This book is interesting.
Il film è noioso.,The movie is boring.
La lezione è facile oggi.,The lesson is easy today.
Questo esercizio è difficile.,This exercise is difficult.
La porta è aperta.,The door is open.
La finestra è chiusa.,The window is closed.
Questa stanza è pulita.,This room is clean.
Il pavimento è sporco.,The floor is dirty.
Il bicchiere è pieno d'acqua.,The glass is full of water.
La bottiglia è vuota.,The bottle is empty.
"Sono ricco di esperienza, non di soldi.","I am rich in experience, not in money."
Molte persone sono povere in questa città.,Many people are poor in this city.
Sono sicuro di questa risposta.,I am sure of this answer.
Questa situazione è strana.,This situation is strange.
Sei molto gentile con me.,You are very kind to me.
Siamo simpatici e onesti.,We are likeable and honest.
Parlo italiano ogni giorno.,I speak Italian every day.
Capisco un po' di italiano.,I understand a little Italian.
Scrivo una lettera a mio fratello.,I write a letter to my brother.
Leggo il giornale ogni mattina.,I read the newspaper every morning.
Ascolto la musica mentre lavoro.,I listen to music while I work.
Guardo un video sul telefono.,I watch a video on the phone.
Rispondo a un messaggio importante.,I answer an important message.
Chiamo mia madre ogni sera.,I call my mother every evening.
"Ci vediamo domani, va bene?","We'll see each other tomorrow, okay?"
Il mio numero di telefono è nuovo.,My phone number is new.
Il giornale racconta una brutta notizia.,The newspaper tells a bad news story.
Uso internet per studiare.,I use the internet to study.
Il sito ha molte pagine.,The website has many pages.
Vado a correre ogni mattina.,I go running every morning.
Nuoto nel mare in estate.,I swim in the sea in summer.
Gioco a carte con gli amici.,I play cards with friends.
Andiamo a ballare stasera.,We are going dancing tonight.
Cantiamo insieme una canzone.,We sing a song together.
Ridiamo molto quando siamo insieme.,We laugh a lot when we are together.
Piango quando guardo un film triste.,I cry when I watch a sad movie.
Nasco in una piccola città.,I am born in a small town.
Vivo lontano dalla mia famiglia.,I live far from my family.
Muoio di sete in questa giornata calda.,I am dying of thirst on this hot day.
La vita è breve ma bella.,Life is short but beautiful.
Cerco il mio libro ma non lo trovo.,I look for my book but I don't find it.
Perdo sempre le chiavi.,I always lose my keys.
Trovo la chiave sotto il tavolo.,I find the key under the table.
Decido di studiare stasera.,I decide to study tonight.
Scelgo il vestito blu.,I choose the blue dress.
Preferisco il tè al caffè.,I prefer tea to coffee.
Cambio lavoro il prossimo mese.,I change jobs next month.
Provo a capire questo problema.,I try to understand this problem.
Continuo a studiare ogni giorno.,I continue to study every day.
Comincio un nuovo progetto.,I begin a new project.
Finisco il lavoro alle sei.,I finish work at six.
Aiuto i miei genitori a casa.,I help my parents at home.
Pulisco la casa ogni sabato.,I clean the house every Saturday.
Lavo i piatti dopo cena.,I wash the dishes after dinner.
Cucino la pasta per la famiglia.,I cook pasta for the family.
Vinco sempre a questo gioco.,I always win at this game.
Non voglio perdere questa occasione.,I don't want to miss this opportunity.
Vengo a casa tua domani.,I am coming to your house tomorrow.
Esco con gli amici stasera.,I go out with friends tonight.
Torno presto stasera.,I am coming back early tonight.
Entro in classe alle nove.,I enter the classroom at nine.
Salgo le scale ogni giorno.,I go up the stairs every day.
Scendo dall'autobus in centro.,I get off the bus downtown.
Compro un regalo per mio padre.,I buy a gift for my father.
Vendo la mia vecchia bicicletta.,I sell my old bicycle.
Costa poco ma è di buona qualità.,It costs little but it is good quality.
Apro il negozio alle otto.,I open the shop at eight.
Conosco molte persone in questa città.,I know many people in this city.
Incontro un vecchio amico al parco.,I meet an old friend at the park.
Saluto tutti quando arrivo.,I greet everyone when I arrive.
Mi chiamo Marco e ho trent'anni.,My name is Marco and I am thirty years old.
Come ti chiami?,What is your name?
Mi sento bene oggi.,I feel good today.
Diventiamo amici molto presto.,We become friends very quickly.
Restiamo a casa quando piove.,We stay home when it rains.
Servo il caffè agli ospiti.,I serve coffee to the guests.
Prendo il treno delle otto.,I take the eight o'clock train.
Vado in vacanza ogni estate.,I go on vacation every summer.
Il weekend è per riposare.,The weekend is for resting.
Sono le sette e mezza.,It is half past seven.
Abbiamo due gatti e un cane.,We have two cats and a dog.
Ci sono venti studenti in classe.,There are twenty students in class.
Ho trentacinque anni.,I am thirty-five years old.
Ho cento euro nella borsa.,I have one hundred euros in the bag.
Il negozio è aperto dalle nove alle sette.,The shop is open from nine to seven.
