base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
cominciare,to begin/to start,comincio,cominciamo,cominci,cominci,cominciate,comincia,comincia,cominciano
finire,to finish,finisco,finiamo,finisci,finisci,finite,finisce,finisce,finiscono
continuare,to continue,continuo,continuiamo,continui,continui,continuate,continua,continua,continuano
aiutare,to help,aiuto,aiutiamo,aiuti,aiuti,aiutate,aiuta,aiuta,aiutano
lavare,to wash,lavo,laviamo,lavi,lavi,lavate,lava,lava,lavano
pulire,to clean,pulisco,puliamo,pulisci,pulisci,pulite,pulisce,pulisce,puliscono
cucinare,to cook,cucino,cuciniamo,cucini,cucini,cucinate,cucina,cucina,cucinano
giocare,to play,gioco,giochiamo,giochi,giochi,giocate,gioca,gioca,giocano
vincere,to win,vinco,vinciamo,vinci,vinci,vincete,vince,vince,vincono
perdere,to lose,perdo,perdiamo,perdi,perdi,perdete,perde,perde,perdono
cambiare,to change,cambio,cambiamo,cambi,cambi,cambiate,cambia,cambia,cambiano
provare,to try,provo,proviamo,provi,provi,provate,prova,prova,provano
usare,to use,uso,usiamo,usi,usi,usate,usa,usa,usano
credere,to believe,credo,crediamo,credi,credi,credete,crede,crede,credono
sperare,to hope,spero,speriamo,speri,speri,sperate,spera,spera,sperano
amare,to love,amo,amiamo,ami,ami,amate,ama,ama,amano
odiare,to hate,odio,odiamo,odi,odi,odiate,odia,odia,odiano
piacere,to like/to please,piaccio,piacciamo,piaci,piaci,piacete,piace,piace,piacciono
ricordare,to remember,ricordo,ricordiamo,ricordi,ricordi,ricordate,ricorda,ricorda,ricordano
dimenticare,to forget,dimentico,dimentichiamo,dimentichi,dimentichi,dimenticate,dimentica,dimentica,dimenticano
spiegare,to explain,spiego,spieghiamo,spieghi,spieghi,spiegate,spiega,spiega,spiegano
insegnare,to teach,insegno,insegniamo,insegni,insegni,insegnate,insegna,insegna,insegnano
chiamare,to call/to name,chiamo,chiamiamo,chiami,chiami,chiamate,chiama,chiama,chiamano
ascoltare,to listen,ascolto,ascoltiamo,ascolti,ascolti,ascoltate,ascolta,ascolta,ascoltano
cantare,to sing,canto,cantiamo,canti,canti,cantate,canta,canta,cantano
ridere,to laugh,rido,ridiamo,ridi,ridi,ridete,ride,ride,ridono
nascere,to be born,nasco,nasciamo,nasci,nasci,nascete,nasce,nasce,nascono
morire,to die,muoio,moriamo,muori,muori,morite,muore,muore,muoiono
vivere,to live,vivo,viviamo,vivi,vivi,vivete,vive,vive,vivono
abitare,to reside,abito,abitiamo,abiti,abiti,abitate,abita,abita,abitano
viaggiare,to travel,viaggio,viaggiamo,viaggi,viaggi,viaggiate,viaggia,viaggia,viaggiano
guidare,to drive,guido,guidiamo,guidi,guidi,guidate,guida,guida,guidano
volare,to fly,volo,voliamo,voli,voli,volate,vola,vola,volano
alzarsi,to get up,mi alzo,ci alziamo,ti alzi,ti alzi,vi alzate,si alza,si alza,si alzano
sedersi,to sit down,mi siedo,ci sediamo,ti siedi,ti siedi,vi sedete,si siede,si siede,si siedono
vestirsi,to get dressed,mi vesto,ci vestiamo,ti vesti,ti vesti,vi vestite,si veste,si veste,si vestono
lavarsi,to wash oneself,mi lavo,ci laviamo,ti lavi,ti lavi,vi lavate,si lava,si lava,si lavano
chiamarsi,to be called,mi chiamo,ci chiamiamo,ti chiami,ti chiami,vi chiamate,si chiama,si chiama,si chiamano
sentirsi,to feel,mi sento,ci sentiamo,ti senti,ti senti,vi sentite,si sente,si sente,si sentono
incontrare,to meet,incontro,incontriamo,incontri,incontri,incontrate,incontra,incontra,incontrano
conoscere,to know a person,conosco,conosciamo,conosci,conosci,conoscete,conosce,conosce,conoscono
salutare,to greet,saluto,salutiamo,saluti,saluti,salutate,saluta,saluta,salutano
decidere,to decide,decido,decidiamo,decidi,decidi,decidete,decide,decide,decidono
scegliere,to choose,scelgo,scegliamo,scegli,scegli,scegliete,sceglie,sceglie,scelgono
preferire,to prefer,preferisco,preferiamo,preferisci,preferisci,preferite,preferisce,preferisce,preferiscono
servire,to serve/to be useful,servo,serviamo,servi,servi,servite,serve,serve,servono
restare,to remain,resto,restiamo,resti,resti,restate,resta,resta,restano
diventare,to become,divento,diventiamo,diventi,diventi,diventate,diventa,diventa,diventano
