arabizi_sentence,english_translation
Les oiseaux chantent le matin.,The birds sing in the morning.
Notre chat aime dormir toute la journée.,Our cat likes to sleep all day.
Les poissons nagent dans la rivière.,The fish swim in the river.
Il y a beaucoup d'arbres dans la forêt.,There are many trees in the forest.
Le cheval court très vite.,The horse runs very fast.
Les vaches mangent de l'herbe.,The cows eat grass.
Un papillon vole près de la fleur.,A butterfly flies near the flower.
Les abeilles travaillent toute la journée.,Bees work all day.
Le lapin dort sous l'arbre.,The rabbit sleeps under the tree.
Nous voyons souvent des oiseaux dans le jardin.,We often see birds in the garden.
Cette montagne est très haute.,This mountain is very tall.
La mer est calme ce matin.,The sea is calm this morning.
Nous marchons le long de la plage.,We walk along the beach.
Le lac est près de notre maison.,The lake is near our house.
Elle porte une robe rouge.,She is wearing a red dress.
J'aime bien ta nouvelle veste bleue.,I really like your new blue jacket.
Il achète des chaussures noires.,He is buying black shoes.
Cette chemise blanche est très jolie.,This white shirt is very pretty.
Mon manteau d'hiver est vert.,My winter coat is green.
Nous portons des chapeaux quand il fait chaud.,We wear hats when it's hot.
Ses gants sont gris et chauds.,Her gloves are gray and warm.
Ce pantalon est trop long pour moi.,These pants are too long for me.
J'achète une écharpe jaune pour l'hiver.,I am buying a yellow scarf for winter.
Nous célébrons Noël en famille.,We celebrate Christmas with family.
"À Pâques, les enfants cherchent des œufs.","At Easter, the children look for eggs."
J'offre toujours un cadeau à mon père.,I always give a gift to my father.
Cette fête commence à sept heures.,This party starts at seven o'clock.
Toute la famille arrive pour les fêtes.,The whole family arrives for the holidays.
Nous préparons la maison pour Noël.,We are getting the house ready for Christmas.
Le mariage de ma sœur est en juin.,My sister's wedding is in June.
Ce livre parle d'un long voyage.,This book talks about a long journey.
Les élèves écoutent bien le professeur.,The students listen well to the teacher.
Je n'utilise pas souvent mon ordinateur.,I don't often use my computer.
Je dois répondre à ce message.,I have to answer this message.
Cette leçon est très intéressante.,This lesson is very interesting.
Nous rencontrons nos amis ce soir.,We are meeting our friends tonight.
Le jardin est plein de belles fleurs.,The garden is full of beautiful flowers.
"Il pleut, donc nous restons à la maison.","It's raining, so we are staying home."
Nous préparons nos valises pour le voyage.,We are packing our suitcases for the trip.
J'apprends à chanter avec ma sœur.,I am learning to sing with my sister.
Mon voisin a un grand jardin.,My neighbor has a big garden.
Nous utilisons le même bureau au travail.,We use the same office at work.
Elle prépare sa valise avant de partir.,She packs her suitcase before leaving.
Ce problème est plus difficile que je pensais.,This problem is more difficult than I thought.
Nous devons décider avant demain.,We have to decide before tomorrow.
Le petit garçon joue avec son chien.,The little boy plays with his dog.
J'attends de bonnes nouvelles cette semaine.,I am waiting for good news this week.
Sa voiture est devant la maison.,His car is in front of the house.
Nous visitons souvent ce petit village.,We often visit this small village.
