arabizi_sentence,english_translation
Btsefer ma3 3ayle bi l'sayf.,She travels with her family in the summer.
Ma btnsa w3ooda.,She never forgets her promises.
Estezita bt3allema ishya jdide.,Her teacher teaches them new things.
Forset easter 2areebe.,Easter break is near.
Se3et arabe 7elwe.,The Arabic hour is beautiful.
Heyde souret l'mat3am 2adime bas 7elwe.,This picture of the restaurant is old but beautiful.
Moo2abaltak bukra mish l'yom.,"Your interview is tomorrow, not today."
Tawletun ghalye.,Their table is expensive.
Kirsetik ktir ndeefe.,Your chair is really clean.
ana deyman beshrab 2ahwe subu7.,I always drink coffee in the morning.
hiyye ma btekul mrabba abadan.,She never eats jam.
2awal shi ana beshteghel ba3den ana bnem.,"First I work, then I sleep."
jawze byetrawa2 3adatan se3a 2.,My husband usually has breakfast at 2 o'clock.
inta btemshe shway shway.,You walk slowly.
beje 3al beit se3a 10 bil-zabet.,I come home at exactly 10 o'clock.
inte btekle kil l-akel ta2riban.,You eat almost all the food.
inta bta3ref 3arabe kamen.,You know Arabic too.
3al 10 bi leil bekhud adiwite akhiran.,At 10 at night I finally take my medicine.
bukra mensefer 3ala l-hinid.,Tomorrow we will travel to India.
hinne byitbkho sawa.,They cook together.
halla2 ana bedrus 3arabe.,Now I study Arabic.
yemken nedhar barra ba3ed saf.,Maybe we will go out after class.
ente btense kutubik a7yanan.,You sometimes forget your books.
huwe byishrab 3aseer beser3a.,He drinks juice fast.
hinne byijo 3ala l-beit 2ariban.,They will come home soon.
ana binsa kalimet 3arabe kteer.,I forget Arabic words a lot.
inte bterja3e 3ala sheghel deghre.,You come back to work straight away.
hinne byeshteghlo bi l-weekend lil-asaf.,"They work on the weekend, unfortunately."
lyom ana bet3allam 3arabe se3tein.,Today I learn Arabic for two hours.
ana bektub hon.,I write here.
huwe byiskun honik.,He lives there.
3adatan btetbukh kil yom bi l-beit bas lyom ma ra7 tetbukh.,She usually cooks every day at home but today she will not.
"Mu7amiye ma ra7 tru7 3a maktaba lyom, fa ana 7a talfenla ba3den.","My lawyer will not come to her office today, so I will give her a call later."
7a ykun 3inna 3asha l'layle bi l-mta3am jdid bi 7ayna.,We will have dinner tonight at a new restaurant in our neighborhood.
7a ykun 3inna tirwi2a ma3 ref2atna lyom.,We will have breakfast with our colleagues today.
Tamara 3anda mo2abaleh jdide lyom; hiyye bt7ammam 2abel ma tru7 men l'beit.,Tamara has a new interview today; she should shower before she leaves the house.
"7a usal lyom ba3den, w 7a edfa3 feturet telefone 3al akid.","I will arrive later today, and I will definitely pay my phone bill."
Ana mumasele w ana lezim 7dader 7ale ktir min7 2abel ma ru7.,I'm an actress and I must prepare myself very well before I go.
Ni7na 7a net3ab kteer lyom w ma 7a nru7 barra.,We will be very tired today and we won't go out.
Hinne ma byetlbo akel w ana ma betbukh.,They didn't order food and I didn't cook.
John w Karen 7a yru7o sawa w ni7na 7a neb2a bi l'beit w ne7dar film.,John and Karen will go out together and we will stay home and watch a movie.
Mar7aba! Kifkun ya shabeb?,Hello! How are you guys?
Ana esme Carole w ana Libneniye men Libnen.,"My name is Carole and I'm Lebanese, from Lebanon."
Ana beshteghel bi Natakallam kil yom.,I work at Natakallam every day.
Ana ba3mol saf 3a telephon w bi saf kamen.,I do classes on the phone and in a classroom too.
Ana b3allem 3arabe w ana b7eb sheghle!,I teach Arabic and I love my job!
b7eb sheghle li2an fiye eshteghel men lbeit aktar l-2aw2at.,I love my job because I can work from home most of the time.
Beskun bi Manhattan.,I live in Manhattan.
3ande sha2a sghire w 7elue 7ad l-jnayne.,"I have a nice, small apartment next to the park."
Be7ke w biktub arabe w inglise tab3an.,I speak and write Arabic and English of course.
B7eb etbukh w e7dar film w b7eb ru7 3a mat3am jdid bi New York City.,"I love to cook, I love watching movies, and I love going to new restaurants in New York City."
Fayrouz set 7ilwe w mohemme w kbire w karime w asire w bet7eb libnen.,"Fayrouz is a lady who is beautiful, important, great, generous, short, and she loves Lebanon."
"Lyom 3id miléd jawzé, w baddé 7ader mufeja2a elo.","Today is my husband's birthday, and I want to prepare a surprise for him."
"Ana 7a 2a3mul cake chocolat, le2ano aktar shi bi7bo.","I will make a chocolate cake, because it's what he likes the most."
"W halla2 badé ru7 jeeb hdiyé, bas ma ba3ref chu lezim jeeb?!","And now I want to go get a gift, but I don't know what I should bring?!"
"Ana 3am fakker ino ma 3ando cravat biniyyé, fa ra7 ru7 3al lma7al yalli huwe b7ibo ta ichtré wi7dé.","I'm thinking that he doesn't have a brown tie, so I will go to the shop that he likes to buy one."
Ana 3azamét rif2atna w kil nes yalli mn7ebun.,I invited our friends and all the people that we love.
Ana b7eb jawzé w badé farji 2adech ana b7ibo.,I love my husband and I want to show how much I love him.
Shu lezim 2a3mul ba3ed?,What else should I do?
Marhaba ya shabeb. Ana Julian w men Seattle.,Hello guys. I'm Julian and I'm from Seattle.
Bistighl bi Amazon.,I work at Amazon.
Ma b7eb istighl 3ashen ma fiye istighl men l-beit.,I don't like working because I can't work from home.
Bas b7eb ino fi ahwe free bi shighl.,But I like that there is free coffee at work.
"Sabet w a7ad, Julia w ana, mnruh 3ala jabal na3mul hiking.","On Saturday and Sunday, Julia and I, we go to the mountain to hike."
A7yanan ana bru7 a3mul bicyclette bi Lake Union.,Sometimes I go bike riding at Lake Union.
"Mat3ame l-mufaddal ismo Mounche Express, mish kteer mni7, bas ma 3inna ghayro.","My favorite restaurant is called Mounche Express, it's not very good, but we don't have another one."
Fadi kil yom byefta7 dikéné.,Fadi opens a shop every day.
"Haydé dekénit ahlo, byeshteghel fiya huwé w emmo w bayyo.","This is his parents' shop, he works there along with his mother and his father."
Fadi bibalech nharo se3a 7:30 te2riban.,Fadi starts his day at around 7:30.
"2awal shi, by7ott stands l-chips barra, w byefta7 l-barradet.","First thing, he puts the chips stands outside, and opens the fridges."
"Ba3den bi7adder sandou2, w biratteb l-bda3a shway.","Then he prepares the cash register, and organizes the items a little."
Byuntur 3ammo Abu Naji ta yjeeb l-khibiz.,He waits for his uncle Abu Naji to bring the bread.
"Bas lyom Abu Naji 2arrar yghallé se3er rabtet l-khibiz, w balash yitné2ash ma3 Fadi.","But today Abu Naji decided to raise the price of the bread bundle, and started to discuss it with Fadi."
"Ya 3ammo rabta ghalyé kteer, ma fina nghaliya aktar.","Uncle, the bundle is very expensive, we can't make it more expensive."
"T7in ghalé, w l-benzin ghalé w kil shi 3am yghla, ino ma bitwaffé ma3na.","Flour is expensive, and gasoline is expensive and everything is getting expensive, so it doesn't fit my budget anymore."
"La2 sma7lé fiya, l-benzin sarlo khames tihhur 3a nafes se3er, w t7in, dawlé sabatet se3ro men tlét tuchhur, kif hek ghilo ma3ak faj2a?!","No, excuse me, gasoline has been at the same price for five months, and flour, the government stabilized its price for three months, how did it suddenly get expensive for you?!"
Eh bas ana ma ghallet se3er rabta men khames tishhur.,Yes but I haven't raised the price of the bundle for five months.
"Iza ma ghallayta men khames tishhur, mish darure tghallya halla2.","If you haven't raised it for five months, it's not necessary to raise it now."
Mwazafeene bikalfune ghaley w bidoon mwazafeene ma fi khibiz.,Employees cost me a lot and without employees there is no bread.
"Okay, ru7 7ki ma3 l-baba. Le2an fina njeeb dealer ghayrak.","Okay, go talk to dad. Because we can bring another dealer instead of you."
Yalla ru7 men weje. Ma netla3 tneina khisraneen.,"Come on, get out of my face. May we both not end up as losers."
Ken fi marra walad zghīr esmo Rami.,Once upon a time there was a little boy named Rami.
Rami ken y7ebb kteer el-kutub.,Rami loved books very much.
"Ken 3ando kiteb wa7ad, bass ken yitmanna ykūn 3ando kitebēn aktar.","He had one book, but he wished he had more, two books."
"Yom min l-eyyem, Rami raa7 3a l-maktabe.","One day, Rami went to the library."
"Shef maktabe kbīre, fiya kteer kutub.","He saw a big library, with many books in it."
Shef wled ktīr 3am ye2ro.,He saw many boys reading.
Shef bintēn 3am yidawwru 3ala majallet.,He saw two girls searching for magazines.
Ya rayt 3andi majalla metlon.,I wish I had a magazine like theirs.
Rami shef raf malyen 2isas gharībe.,Rami saw a shelf full of strange stories.
"Shef 2issa 3an 7ūt kbīr, w 2issa 3an ṭayāra btīr bi l-sama.","He saw a story about a big whale, and a story about an airplane flying in the sky."
Shef 2lem mjama3een 3a ṭāwle.,He saw pens gathered on a table.
"Ya 3amm, 3andi su2āl.","Uncle, I have a question."
Tfaḍḍal ya 7abībi.,"Go ahead, my dear."
"Badde kitebēn gharībīn, w majallet fiya ṣuwar 7ilwe.","I want two strange books, and magazines with nice pictures in them."
Ma3ak lirat ktīr?,Do you have a lot of money?
Rami ṭalla3 bi jeibto.,Rami looked in his pocket.
"La2, bass 3ande lira we7de.","No, but I only have one lira."
"Ma3lesh, b3aṭīk kiteb ġharīb w majalle fiya ṣuwar 7ilwe, bass lezim t7āfez 3layon.","It's okay, I'll give you a strange book and a magazine with nice pictures, but you have to keep them safe."
Shukran ya 3amm! Ra7 7āfez 3layon ktīr ktīr!,"Thank you, uncle! I will keep them very, very safe!"
"Rami ra7 3a l-beit, w 2ara l-kiteb w shef ṣuwar bi l-majalle.","Rami went home, and read the book and saw pictures in the magazine."
"Ken mabsoot ktīr, le2ano ṣār 3ando kitebēn w majallet 7ilwe.","He was very happy, because he now had two books and nice magazines."
3eref enno l-2raye shi 7ilo ktīr.,He knew that reading is a very nice thing.
Byestighel bi l-mat7af bi centre Paris w fiyo as7ab shighlo mne7.,He works at a museum in central Paris and he has nice colleagues.
Yemken yi7ke ma3 ahlo w as7abo dayman w bado inno hinne yru7o w yzooru.,He calls his friends and family regularly and wants them to come and visit him.
"Bru7 3a l-shighel bi scooter, bass a7yanan bru7 bil bus.","He takes the scooter to work, but sometimes he takes the subway."
Ma b7eb yekul escargot bass bye7ke 3an nes yalli byeklu.,He still doesn't like eating escargot but he judges people that do.
Fi akel libnene tayyeb yalli metel bi l-beit.,There is good Lebanese food which makes him feel at home.
Yemken ra7 yzoor Disneyland Paris.,Maybe he will visit Disneyland Paris.
Du2 l7adeed w huwe 7ame,Strike while the iron is hot.
3asfoor bi l-2id wa la 3ashra 3a shajra,A bird in the hand is worth ten on the tree.
Yalli fet met,What's gone is gone.
7abel l-kezeb 2aseer,The rope of lies is short.
Bi l-7arake barake,"In movement, there is blessing."
Tub l-jarra 3a temma lbenet la emma,"Turn the jug upside down, the daughter will turn out to be her mother. (Like mother, like daughter)"
Khaf men 3aduwak marra w men sadi2ak alef marra,"Fear your enemy once, and your friend a thousand times."
L-2ered bi 3en emmo ghazel,The monkey in its mother's eye is a gazelle.
Iza l-kalem men fidda fa skoot men dahab,"If speech is silver, then silence is golden."
Tanjara w la2et ghatah,The pot found its lid. (Said when two people or things match perfectly.)
"Yalli beito men 2zez, ma yerme l-nes bi 7ajara",Those whose house is made of glass shouldn't throw rocks at people.
"2alo la l-baghel min abouk, 2allun l-7san khale","They asked the mule 'who is your father?' he replied, 'the horse is my uncle'"
Emshe shaher wa la te3bur naher,Walk a month and don't cross a river.
L-jar abel l-dar,The neighbor before the house.
Yalli sta7o mato,Those who were ashamed died.
A3te khebzak lal khibez w law akal nesso,"Give bread to its baker, even if he eats half of it."
"Yalli ma ya3ref, bi2ool 3adas","He who doesn't know, says lentils."
Sa7eb se7ib,A friend is a drawer. (they influence you)
Aktar men hek ma fi,There isn't more than this.
3a 2ad l7afak med 3a ijrek,Stretch your legs as far as your blanket.
Kel min 3a dino allah y3ino,May God help everyone with their own religion.
"Men barra allah allah, w men juwa ye3lam allah","From the outside 'God God' and from the inside, only God knows."
Metel l-atrash bi zaffe,Like a deaf person at a wedding.
"Yalli byezra3 shok, ma byejne 3inab",Whoever plants thorns does not collect grapes.
Iza ghille dehen sle2o beid,"If the butter is expensive, boil eggs."
